KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
A1BG	0.679	0.8	2.278	0.212	0.88	0.643	0.265	0.277	0.532	0.623	0.622	0.602	1.615	2.962	4.575	1.283	2.564	3.556	1.43	0.382	1.607	1.176	0.42	0.683	1.86
A1CF	0.105	0.07	0.077	0.203	0.086	0.097	0.085	0.183	0.045	0.062	0.073	0.066	0.039	0.109	0.059	0.033	0.05	0.165	0.047	0.02	0.073	0.124	0.103	0.029	0.052
A2M	7.315	15.199	19.078	4.218	13.771	7.23	2.82	5.063	2.437	7.074	5.434	15.189	22.119	17.892	23.292	4.193	7.747	18.04	25.52	3.688	11.19	7.252	2.952	3.32	27.355
A2ML1	20.935	6.238	56.003	12.477	2.123	6.007	21.772	0.619	7.426	2.813	1.89	3.41	13.565	4.776	7.574	13.962	7.077	12.851	3.286	3.043	9.897	8.853	2.134	8.035	2.299
A3GALT2	0.079	0.009	0.091	0.033	0.063	0.059	0.078	0.016	0.01	0.024	0.108	0.067	0.012	0.167	0.053	0.085	0	0.297	0.053	0.081	0.027	0.015	0.013	0.008	0
A4GALT	22.088	12.601	23.106	16.662	11.728	21.206	8.912	11.361	13.319	15.307	4.268	7.9	6.404	34.392	36.101	41.22	61.291	31.053	5.219	12.297	9.778	10.532	14.244	10.533	6.676
A4GNT	0.013	0.025	0.325	0.013	0.047	0.056	0.013	0.028	0.047	0.015	0.009	0.043	0.047	0.048	0.077	0.041	0.024	0.066	0.037	0	0.026	0.018	0	0.005	0.098
AAAS	11.869	6.855	16.173	11.015	8.864	12.412	8.44	13.059	3.285	3.657	3.308	2.748	3.872	9.738	11.521	13.311	10.462	10.483	5.642	4.461	6.284	4.207	7.136	3.565	4.908
AACS	17.997	11.816	29.898	16.829	11.629	19.215	11.608	17.321	4.657	4.813	4.631	5.946	3.751	23.261	14.997	17.006	20.326	27.419	3.679	11.975	7.015	6.604	11.888	4.439	5.701
AADAC	0.054	0.102	0.036	0	0.007	0.028	0	0.252	0	0	0.024	0	0.027	0.104	0.02	0	0	0.029	0	0.035	0	0	0	0.052	0
