Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	112	34.25076452599388	6.407118931556026E-15	ENSG00000109501, ENSG00000175895, ENSG00000164008, ENSG00000107929, ENSG00000145907, ENSG00000215251, ENSG00000104388, ENSG00000101868, ENSG00000177646, ENSG00000099246, ENSG00000149262, ENSG00000140284, ENSG00000009307, ENSG00000173230, ENSG00000114573, ENSG00000275700, ENSG00000115310, ENSG00000008311, ENSG00000126883, ENSG00000115486, ENSG00000196591, ENSG00000106682, ENSG00000165655, ENSG00000171530, ENSG00000138069, ENSG00000109519, ENSG00000134709, ENSG00000213024, ENSG00000165732, ENSG00000169762, ENSG00000158545, ENSG00000007923, ENSG00000110713, ENSG00000204435, ENSG00000179958, ENSG00000117054, ENSG00000120699, ENSG00000163820, ENSG00000165688, ENSG00000147684, ENSG00000124383, ENSG00000151092, ENSG00000107959, ENSG00000103018, ENSG00000117569, ENSG00000078369, ENSG00000178105, ENSG00000155363, ENSG00000135968, ENSG00000205981, ENSG00000165283, ENSG00000259431, ENSG00000178035, ENSG00000130816, ENSG00000204256, ENSG00000131043, ENSG00000277972, ENSG00000099219, ENSG00000107371, ENSG00000100387, ENSG00000136261, ENSG00000117724, ENSG00000140374, ENSG00000138698, ENSG00000100243, ENSG00000149428, ENSG00000119396, ENSG00000174021, ENSG00000018510, ENSG00000108559, ENSG00000100575, ENSG00000155506, ENSG00000143653, ENSG00000204120, ENSG00000108094, ENSG00000106344, ENSG00000174851, ENSG00000070770, ENSG00000146834, ENSG00000119638, ENSG00000174720, ENSG00000129460, ENSG00000102898, ENSG00000126216, ENSG00000164609, ENSG00000112159, ENSG00000150779, ENSG00000198056, ENSG00000103507, ENSG00000082805, ENSG00000140332, ENSG00000135930, ENSG00000114302, ENSG00000075785, ENSG00000068400, ENSG00000137513, ENSG00000130255, ENSG00000150093, ENSG00000188342, ENSG00000153015, ENSG00000141867, ENSG00000143569, ENSG00000160695, ENSG00000115761, ENSG00000090615, ENSG00000011243, ENSG00000174780, ENSG00000130724, ENSG00000052126, ENSG00000119321, ENSG00000084733, ENSG00000240344	304	3227	17955	2.049891540130152	1.8545165403338615E-12	1.8545165403338615E-12	8.548717289613705E-12
UP_KEYWORDS	Protein transport	38	11.62079510703364	4.168563932889053E-12	ENSG00000175895, ENSG00000166887, ENSG00000082805, ENSG00000108559, ENSG00000183020, ENSG00000119396, ENSG00000110713, ENSG00000120725, ENSG00000152969, ENSG00000100575, ENSG00000104388, ENSG00000075785, ENSG00000099246, ENSG00000138750, ENSG00000169223, ENSG00000114745, ENSG00000132842, ENSG00000174851, ENSG00000165527, ENSG00000108774, ENSG00000126883, ENSG00000135968, ENSG00000205981, ENSG00000160695, ENSG00000161203, ENSG00000132286, ENSG00000102898, ENSG00000134809, ENSG00000130724, ENSG00000117500, ENSG00000138069, ENSG00000084733, ENSG00000105127, ENSG00000134709, ENSG00000150779, ENSG00000213024, ENSG00000167461, ENSG00000132182	304	583	17955	3.849699828473413	1.2005436644813017E-9	6.002718322406508E-10	5.535760738695217E-9
UP_KEYWORDS	Endoplasmic reticulum	49	14.984709480122325	2.92003547932938E-11	ENSG00000109501, ENSG00000123983, ENSG00000141756, ENSG00000175895, ENSG00000159063, ENSG00000100243, ENSG00000105223, ENSG00000100292, ENSG00000149428, ENSG00000120725, ENSG00000104388, ENSG00000152952, ENSG00000120697, ENSG00000135506, ENSG00000140284, ENSG00000169223, ENSG00000197858, ENSG00000102595, ENSG00000174851, ENSG00000114650, ENSG00000100350, ENSG00000104691, ENSG00000023318, ENSG00000213186, ENSG00000115310, ENSG00000136827, ENSG00000115275, ENSG00000115486, ENSG00000147955, ENSG00000116406, ENSG00000068912, ENSG00000165282, ENSG00000174780, ENSG00000109084, ENSG00000113719, ENSG00000115255, ENSG00000140479, ENSG00000121940, ENSG00000117500, ENSG00000138069, ENSG00000130309, ENSG00000087111, ENSG00000084733, ENSG00000079150, ENSG00000099219, ENSG00000064763, ENSG00000253710, ENSG00000132182, ENSG00000129625	304	985	17955	2.9381345177664975	8.409688945221205E-9	2.8032296484070685E-9	3.8777459021588356E-8
UP_KEYWORDS	Phosphoprotein	188	57.49235474006116	5.851281333695401E-11	ENSG00000109501, ENSG00000123983, ENSG00000175895, ENSG00000107929, ENSG00000145907, ENSG00000138757, ENSG00000005007, ENSG00000103222, ENSG00000215251, ENSG00000101868, ENSG00000177646, ENSG00000099246, ENSG00000140284, ENSG00000168615, ENSG00000073008, ENSG00000102595, ENSG00000104907, ENSG00000165661, ENSG00000009307, ENSG00000114573, ENSG00000173230, ENSG00000275700, ENSG00000115295, ENSG00000166147, ENSG00000115310, ENSG00000166348, ENSG00000148334, ENSG00000126883, ENSG00000106682, ENSG00000196591, ENSG00000130640, ENSG00000165655, ENSG00000058056, ENSG00000102471, ENSG00000121940, ENSG00000138069, ENSG00000011523, ENSG00000101146, ENSG00000137073, ENSG00000143153, ENSG00000134709, ENSG00000213024, ENSG00000167461, ENSG00000165732, ENSG00000135837, ENSG00000169762, ENSG00000073060, ENSG00000204386, ENSG00000158545, ENSG00000007923, ENSG00000110713, ENSG00000204435, ENSG00000179958, ENSG00000117054, ENSG00000163820, ENSG00000147684, ENSG00000124383, ENSG00000151092, ENSG00000177663, ENSG00000140262, ENSG00000116141, ENSG00000137806, ENSG00000104691, ENSG00000137414, ENSG00000038274, ENSG00000074582, ENSG00000103018, ENSG00000117569, ENSG00000155363, ENSG00000178105, ENSG00000078369, ENSG00000178104, ENSG00000135968, ENSG00000205981, ENSG00000169972, ENSG00000165283, ENSG00000164251, ENSG00000178035, ENSG00000204256, ENSG00000130816, ENSG00000167110, ENSG00000143337, ENSG00000140577, ENSG00000100387, ENSG00000136261, ENSG00000141756, ENSG00000140374, ENSG00000117724, ENSG00000100242, ENSG00000100243, ENSG00000119397, ENSG00000149428, ENSG00000108559, ENSG00000018510, ENSG00000174021, ENSG00000155506, ENSG00000077348, ENSG00000152952, ENSG00000204120, ENSG00000143653, ENSG00000155393, ENSG00000108094, ENSG00000106344, ENSG00000072518, ENSG00000075413, ENSG00000146143, ENSG00000148175, ENSG00000171467, ENSG00000160299, ENSG00000005249, ENSG00000174799, ENSG00000114745, ENSG00000127554, ENSG00000132842, ENSG00000174851, ENSG00000164182, ENSG00000070770, ENSG00000146834, ENSG00000107669, ENSG00000119638, ENSG00000174720, ENSG00000117543, ENSG00000014138, ENSG00000161203, ENSG00000177917, ENSG00000129460, ENSG00000133657, ENSG00000100503, ENSG00000101004, ENSG00000126216, ENSG00000164609, ENSG00000116871, ENSG00000057294, ENSG00000183735, ENSG00000112159, ENSG00000137275, ENSG00000132182, ENSG00000129353, ENSG00000109618, ENSG00000100292, ENSG00000196781, ENSG00000103507, ENSG00000082805, ENSG00000140332, ENSG00000135930, ENSG00000152969, ENSG00000166788, ENSG00000072062, ENSG00000114302, ENSG00000068400, ENSG00000075785, ENSG00000140545, ENSG00000089682, ENSG00000090621, ENSG00000198933, ENSG00000130713, ENSG00000114767, ENSG00000114650, ENSG00000067560, ENSG00000150093, ENSG00000126001, ENSG00000101752, ENSG00000092148, ENSG00000188342, ENSG00000153015, ENSG00000110104, ENSG00000141867, ENSG00000137710, ENSG00000143569, ENSG00000115761, ENSG00000160695, ENSG00000099341, ENSG00000113739, ENSG00000156599, ENSG00000011243, ENSG00000090615, ENSG00000122299, ENSG00000136861, ENSG00000071553, ENSG00000174780, ENSG00000130724, ENSG00000130723, ENSG00000127914, ENSG00000005810, ENSG00000052126, ENSG00000105127, ENSG00000163877, ENSG00000119321	304	7770	17955	1.4290540540540542	1.6851703921183514E-8	4.212926008051454E-9	7.770396548423264E-8
GOTERM_CC_DIRECT	GO:0016020~membrane	78	23.853211009174313	3.432124951181797E-10	ENSG00000123983, ENSG00000136261, ENSG00000100243, ENSG00000107929, ENSG00000119397, ENSG00000149428, ENSG00000174021, ENSG00000018510, ENSG00000103222, ENSG00000155506, ENSG00000166170, ENSG00000143653, ENSG00000204120, ENSG00000131238, ENSG00000173852, ENSG00000072518, ENSG00000169223, ENSG00000148175, ENSG00000197858, ENSG00000172992, ENSG00000160299, ENSG00000132842, ENSG00000173230, ENSG00000164182, ENSG00000115486, ENSG00000152683, ENSG00000106682, ENSG00000116406, ENSG00000130640, ENSG00000133657, ENSG00000126216, ENSG00000113719, ENSG00000162695, ENSG00000164609, ENSG00000121940, ENSG00000130309, ENSG00000087111, ENSG00000143153, ENSG00000112159, ENSG00000253710, ENSG00000132182, ENSG00000198056, ENSG00000165732, ENSG00000135837, ENSG00000142156, ENSG00000204386, ENSG00000100292, ENSG00000137409, ENSG00000072062, ENSG00000114302, ENSG00000120697, ENSG00000140545, ENSG00000163820, ENSG00000132581, ENSG00000156521, ENSG00000130255, ENSG00000165527, ENSG00000150093, ENSG00000103018, ENSG00000136827, ENSG00000177119, ENSG00000115275, ENSG00000078369, ENSG00000135968, ENSG00000165283, ENSG00000156599, ENSG00000165282, ENSG00000153936, ENSG00000090615, ENSG00000178035, ENSG00000140479, ENSG00000130724, ENSG00000005810, ENSG00000052126, ENSG00000033100, ENSG00000105127, ENSG00000119321, ENSG00000099219	296	2118	16605	2.065931016001837	1.2046756570072148E-7	1.2046756570072148E-7	4.6960355604142023E-7
UP_KEYWORDS	Translocation	13	3.9755351681957185	1.23961172089818E-8	ENSG00000102898, ENSG00000138750, ENSG00000134809, ENSG00000126883, ENSG00000205981, ENSG00000108559, ENSG00000150779, ENSG00000110713, ENSG00000120725, ENSG00000213024, ENSG00000100575, ENSG00000132286, ENSG00000132182	304	82	17955	9.363567073170731	3.5700754156264836E-6	7.140161027985314E-7	1.646180755043858E-5
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	50	15.29051987767584	8.990741812497616E-8	ENSG00000119912, ENSG00000113048, ENSG00000140374, ENSG00000138698, ENSG00000100243, ENSG00000007923, ENSG00000103507, ENSG00000174021, ENSG00000018510, ENSG00000137409, ENSG00000215251, ENSG00000117054, ENSG00000100575, ENSG00000072062, ENSG00000144029, ENSG00000166170, ENSG00000177646, ENSG00000137513, ENSG00000143653, ENSG00000165688, ENSG00000147684, ENSG00000140284, ENSG00000072518, ENSG00000148175, ENSG00000104907, ENSG00000172992, ENSG00000130159, ENSG00000127554, ENSG00000164182, ENSG00000114573, ENSG00000074582, ENSG00000038274, ENSG00000107959, ENSG00000008311, ENSG00000148334, ENSG00000124523, ENSG00000205981, ENSG00000153037, ENSG00000161203, ENSG00000132286, ENSG00000114023, ENSG00000134809, ENSG00000102471, ENSG00000109519, ENSG00000105127, ENSG00000277972, ENSG00000150779, ENSG00000137275, ENSG00000131368, ENSG00000122140	296	1238	16605	2.2656693446273413	3.1557007265980985E-5	1.5778628115525883E-5	1.2301657030810986E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	200	61.16207951070336	2.3227309697274498E-7	ENSG00000109501, ENSG00000107929, ENSG00000145907, ENSG00000177646, ENSG00000099246, ENSG00000131238, ENSG00000127452, ENSG00000149262, ENSG00000147533, ENSG00000073008, ENSG00000102595, ENSG00000197858, ENSG00000104907, ENSG00000009307, ENSG00000275700, ENSG00000115295, ENSG00000006451, ENSG00000166348, ENSG00000126883, ENSG00000106682, ENSG00000196591, ENSG00000130640, ENSG00000134809, ENSG00000171530, ENSG00000102471, ENSG00000117500, ENSG00000011523, ENSG00000143153, ENSG00000134709, ENSG00000167461, ENSG00000165732, ENSG00000100883, ENSG00000137409, ENSG00000120699, ENSG00000177663, ENSG00000140262, ENSG00000137806, ENSG00000100350, ENSG00000151338, ENSG00000177119, ENSG00000078369, ENSG00000178104, ENSG00000136485, ENSG00000204256, ENSG00000138698, ENSG00000100575, ENSG00000077348, ENSG00000108094, ENSG00000138829, ENSG00000072518, ENSG00000075413, ENSG00000160299, ENSG00000114745, ENSG00000174851, ENSG00000108774, ENSG00000107669, ENSG00000174720, ENSG00000068912, ENSG00000126216, ENSG00000115255, ENSG00000100292, ENSG00000103507, ENSG00000152969, ENSG00000068400, ENSG00000090621, ENSG00000089682, ENSG00000198933, ENSG00000130159, ENSG00000067560, ENSG00000150093, ENSG00000126001, ENSG00000092148, ENSG00000188342, ENSG00000110104, ENSG00000137710, ENSG00000143569, ENSG00000160695, ENSG00000090615, ENSG00000136861, ENSG00000109084, ENSG00000127914, ENSG00000005810, ENSG00000105127, ENSG00000084733, ENSG00000119321, ENSG00000175895, ENSG00000164008, ENSG00000183020, ENSG00000138757, ENSG00000005007, ENSG00000215251, ENSG00000104388, ENSG00000101868, ENSG00000138750, ENSG00000168615, ENSG00000173230, ENSG00000166147, ENSG00000115310, ENSG00000148334, ENSG00000165678, ENSG00000058056, ENSG00000113719, ENSG00000138069, ENSG00000087111, ENSG00000079150, ENSG00000213024, ENSG00000129625, ENSG00000135837, ENSG00000119912, ENSG00000181852, ENSG00000073060, ENSG00000158545, ENSG00000160703, ENSG00000105223, ENSG00000007923, ENSG00000119812, ENSG00000110713, ENSG00000179958, ENSG00000204435, ENSG00000113083, ENSG00000163820, ENSG00000147684, ENSG00000179562, ENSG00000124383, ENSG00000151092, ENSG00000165527, ENSG00000104691, ENSG00000074582, ENSG00000038274, ENSG00000103018, ENSG00000136827, ENSG00000155363, ENSG00000135968, ENSG00000205981, ENSG00000165283, ENSG00000164251, ENSG00000178035, ENSG00000130816, ENSG00000167110, ENSG00000107371, ENSG00000143337, ENSG00000100387, ENSG00000140374, ENSG00000117724, ENSG00000100242, ENSG00000119397, ENSG00000174021, ENSG00000119396, ENSG00000018510, ENSG00000120725, ENSG00000155506, ENSG00000166170, ENSG00000135506, ENSG00000148175, ENSG00000005249, ENSG00000174799, ENSG00000127554, ENSG00000023318, ENSG00000070770, ENSG00000119638, ENSG00000120509, ENSG00000161203, ENSG00000132286, ENSG00000129460, ENSG00000102898, ENSG00000114023, ENSG00000100503, ENSG00000101004, ENSG00000164609, ENSG00000183735, ENSG00000057294, ENSG00000112159, ENSG00000137275, ENSG00000130513, ENSG00000104368, ENSG00000109618, ENSG00000113048, ENSG00000196781, ENSG00000082805, ENSG00000140332, ENSG00000135930, ENSG00000072062, ENSG00000114302, ENSG00000075785, ENSG00000130713, ENSG00000198732, ENSG00000114650, ENSG00000213186, ENSG00000101752, ENSG00000102393, ENSG00000140092, ENSG00000141867, ENSG00000230989, ENSG00000011243, ENSG00000174780, ENSG00000130724, ENSG00000130723, ENSG00000052126, ENSG00000163877, ENSG00000240344	294	8290	15528	1.2742177691341916	1.0428519457628127E-4	1.0428519457628127E-4	3.2941986329859674E-4
GOTERM_BP_DIRECT	GO:0006457~protein folding	16	4.892966360856269	2.646450942986867E-7	ENSG00000070770, ENSG00000023318, ENSG00000141756, ENSG00000115275, ENSG00000078369, ENSG00000153015, ENSG00000205981, ENSG00000120725, ENSG00000204435, ENSG00000166170, ENSG00000171530, ENSG00000109519, ENSG00000119321, ENSG00000079150, ENSG00000240344, ENSG00000165661	287	159	15453	5.418184208796267	3.627626579827403E-4	3.627626579827403E-4	4.34932845483349E-4
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	37	11.314984709480122	3.9557478879811795E-7	ENSG00000109501, ENSG00000123983, ENSG00000141756, ENSG00000159063, ENSG00000100243, ENSG00000105223, ENSG00000100292, ENSG00000104388, ENSG00000152952, ENSG00000099246, ENSG00000120697, ENSG00000132581, ENSG00000135506, ENSG00000140284, ENSG00000169223, ENSG00000197858, ENSG00000114650, ENSG00000174851, ENSG00000067560, ENSG00000023318, ENSG00000213186, ENSG00000115310, ENSG00000115275, ENSG00000115486, ENSG00000147955, ENSG00000165282, ENSG00000113719, ENSG00000115255, ENSG00000117500, ENSG00000138069, ENSG00000087111, ENSG00000084733, ENSG00000099219, ENSG00000079150, ENSG00000253710, ENSG00000064763, ENSG00000132182	296	811	16605	2.559340320591862	1.3883713956808208E-4	4.628118843807982E-5	5.412474352373131E-4
